tenant_key,leader_id,leader_name,role,reports_to_role,organization_area,source_basis,source_file,confidence,caveat,source_file,source_row,value_source
lakeshore-industries,LAKESHORE_INDUSTRIES_ROLE_1,,CIO,CEO / executive committee,technology_leadership,v4 role-level IT ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.72,V4 has role/team accountability but no named individual for this row.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,2,tenant_file
lakeshore-industries,LAKESHORE_INDUSTRIES_ROLE_2,,VP ERP,CIO / executive technology leadership,erp,v4 role-level IT ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.72,V4 has role/team accountability but no named individual for this row.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,3,tenant_file
lakeshore-industries,LAKESHORE_INDUSTRIES_ROLE_3,,VP Finance Technology,CIO / executive technology leadership,treasury_finance,v4 role-level IT ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.72,V4 has role/team accountability but no named individual for this row.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,4,tenant_file
lakeshore-industries,LAKESHORE_INDUSTRIES_ROLE_4,,VP Integration,CIO / executive technology leadership,api_edi_batch,v4 role-level IT ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.72,V4 has role/team accountability but no named individual for this row.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,5,tenant_file
lakeshore-industries,LAKESHORE_INDUSTRIES_ROLE_5,,Chief Data Officer,CEO / executive committee,data_analytics,v4 role-level IT ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.72,V4 has role/team accountability but no named individual for this row.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,6,tenant_file
lakeshore-industries,LAKESHORE_INDUSTRIES_ROLE_6,,VP Manufacturing Tech,CIO / executive technology leadership,mes_ot,v4 role-level IT ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.72,V4 has role/team accountability but no named individual for this row.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,7,tenant_file
lakeshore-industries,LAKESHORE_INDUSTRIES_ROLE_7,,VP Infrastructure,CIO / executive technology leadership,cloud_datacenter,v4 role-level IT ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.72,V4 has role/team accountability but no named individual for this row.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,8,tenant_file
lakeshore-industries,LAKESHORE_INDUSTRIES_ROLE_8,,VP IT Operations,CIO / executive technology leadership,itsm,v4 role-level IT ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.72,V4 has role/team accountability but no named individual for this row.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,9,tenant_file
lakeshore-industries,LAKESHORE_INDUSTRIES_ROLE_9,,CISO,CIO / executive technology leadership,cyber,v4 role-level IT ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.72,V4 has role/team accountability but no named individual for this row.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,10,tenant_file
lakeshore-industries,LAKESHORE_INDUSTRIES_BUS_ROLE_10,,Treasurer,Business executive committee,Corporate Treasury,v4 business function ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,11,tenant_file
lakeshore-industries,LAKESHORE_INDUSTRIES_BUS_ROLE_11,,Controller,Business executive committee,Finance and Controller,v4 business function ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,12,tenant_file
lakeshore-industries,LAKESHORE_INDUSTRIES_BUS_ROLE_12,,CFO,Business executive committee,FP&A and Business Finance,v4 business function ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,13,tenant_file
lakeshore-industries,LAKESHORE_INDUSTRIES_BUS_ROLE_13,,Chief Procurement Officer,Business executive committee,Procurement and Supplier Management,v4 business function ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,14,tenant_file
lakeshore-industries,LAKESHORE_INDUSTRIES_BUS_ROLE_14,,COO,Business executive committee,Manufacturing Operations,v4 business function ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,15,tenant_file
lakeshore-industries,LAKESHORE_INDUSTRIES_BUS_ROLE_15,,Chief Supply Chain Officer,Business executive committee,Supply Chain and Logistics,v4 business function ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,16,tenant_file
lakeshore-industries,LAKESHORE_INDUSTRIES_BUS_ROLE_16,,Chief Commercial Officer,Business executive committee,Sales and Customer Operations,v4 business function ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,17,tenant_file
